# Jawwid Chat environment-variable manifest. Owner: AI #7 (infrastructure).
#
# The single machine-readable source of truth for configuration. Consumed by
# scripts/infra/check-env.sh, which CI and every deployment run.
#
# Columns (tab-separated):
#   NAME     variable name
#   GROUP    documentation grouping
#   SECRET   yes = must come from the secret store, never from a tracked file
#   LOCAL    req | opt | forbid   -- state required in local development
#   STAGING  req | opt | forbid
#   PROD     req | opt | forbid   -- forbid = deployment is refused if present
#
# `forbid` is not decoration. DEBUG-style switches are forbidden in production
# so that "temporarily enable it to debug prod" is a deliberate change to this
# file and its review, not a console edit nobody sees.
#
# WHOSE ENVIRONMENT THIS DESCRIBES: the API process. check-env.sh is invoked
# for it and for nothing else (.github/workflows/deploy-*.yml). That is why the
# two privileged database URLs below are FORBIDDEN rather than required --
#
#   DATABASE_URL            the API's own connection: `chat_app`, which owns
#                           nothing and cannot bypass RLS.
#   DATABASE_SERVICE_URL    `chat_service`, which BYPASSES RLS. It belongs to
#                           the worker's environment. An API process holding it
#                           has both authorization layers available to any bug
#                           that picks the wrong client (RLS-STRATEGY.md 6).
#   DATABASE_MIGRATION_URL  the owner/DDL credential. It belongs to CI, for the
#                           length of one migration step, and nowhere else.
#
# The worker's environment is not validated by anything today. That gap is
# named in docs/recovery/PHASE-1-REPORT.md 11.
#
#NAME	GROUP	SECRET	LOCAL	STAGING	PROD
NODE_ENV	application	no	req	req	req
APP_ENV	application	no	req	req	req
PORT	application	no	req	req	req
LOG_LEVEL	application	no	opt	req	req
CORS_ALLOWED_ORIGINS	application	no	req	req	req
REQUEST_TIMEOUT_MS	application	no	opt	req	req
SHUTDOWN_GRACE_MS	application	no	opt	req	req
DATABASE_URL	database	yes	req	req	req
DATABASE_STATEMENT_TIMEOUT_MS	database	no	opt	req	req
DATABASE_POOL_MAX	database	no	opt	req	req
DATABASE_SERVICE_URL	database	yes	opt	forbid	forbid
DATABASE_MIGRATION_URL	database	yes	opt	forbid	forbid
DATABASE_TRANSACTION_TIMEOUT_MS	database	no	opt	opt	opt
DATABASE_TRANSACTION_MAX_WAIT_MS	database	no	opt	opt	opt
REDIS_URL	redis	yes	req	req	req
QUEUE_PREFIX	redis	no	req	req	req
WORKER_CONCURRENCY	redis	no	opt	req	req
JWT_ACCESS_SECRET	auth	yes	req	req	req
JWT_REFRESH_SECRET	auth	yes	req	req	req
JWT_ACCESS_TTL	auth	no	opt	req	req
JWT_REFRESH_TTL	auth	no	opt	req	req
STORAGE_ENDPOINT	storage	no	req	req	req
STORAGE_REGION	storage	no	opt	req	req
STORAGE_BUCKET	storage	no	req	req	req
STORAGE_ACCESS_KEY	storage	yes	req	req	req
STORAGE_SECRET_KEY	storage	yes	req	req	req
STORAGE_SIGNED_URL_TTL_SECONDS	storage	no	opt	req	req
STORAGE_SIGNING_SECRET	storage	yes	req	req	req
OUTBOX_POLL_MS	worker	no	opt	opt	opt
OUTBOX_BATCH_SIZE	worker	no	opt	opt	opt
OUTBOX_IDLE_BACKOFF_MS	worker	no	opt	opt	opt
ATTACHMENT_MAX_BYTES_IMAGE	storage	no	opt	opt	opt
ATTACHMENT_MAX_BYTES_VIDEO	storage	no	opt	opt	opt
ATTACHMENT_MAX_BYTES_VOICE	storage	no	opt	opt	opt
ATTACHMENT_MAX_BYTES_FILE	storage	no	opt	opt	opt
FCM_PROJECT_ID	push	no	opt	req	req
FCM_SERVICE_ACCOUNT_JSON	push	yes	opt	req	req
APNS_KEY_ID	push	no	opt	req	req
APNS_TEAM_ID	push	no	opt	req	req
APNS_BUNDLE_ID	push	no	opt	req	req
APNS_PRIVATE_KEY	push	yes	opt	req	req
APNS_PRODUCTION	push	no	opt	req	req
LIVEKIT_URL	calling	no	req	req	req
LIVEKIT_API_KEY	calling	yes	req	req	req
LIVEKIT_API_SECRET	calling	yes	req	req	req
LIVEKIT_TOKEN_TTL_SECONDS	calling	no	opt	req	req

